"V1","V2"
"Mfn1","Mras"
"Eif2s3y","Cep170"
"Rnmt","Rab11fip2"
"Tbcb","Glmn"
"Rasa1","Ints8"
"1110008F13Rik","Vapa"
"Pus1","Brpf1"
"Glmn","Lima1"
"Trappc8","Mthfr"
"Pam16","Fam98c"
"Ewsr1","Exosc10"
"Taf15","Mrps27"
"Snx9","Cirbp"
"Rpl35","9130011E15Rik"
"Npepps","Prkar2b"
"Cep170","Exoc5"
"Erlin1","Trim25"
"Trappc2l","Exoc1"
"Nrf1","Rufy2"
"Mrps27","Nxt2"
"Zfx","Sp140"
"Mylk","Limd1"
"Cyb5r1","Pitrm1"
"Ndufb11","Ccl3"
"Rab11fip2","Gnb3"
"Cct7","Dbr1"
"Mpp6","Fkbp8"
"Gmip","Golga2"
"Rnmt","Bin3"
"Timm44","Slc4a1ap"
"Snrnp70","Nufip2"
"Naa20","Mapk8"
"Stk38","Nup37"
"Parvb","Ahsa2"
"Gnaz","Xab2"
"Wdr37","Ifit2"
"Arid1b","Trex1"
"Exoc1","Cog8"
"Cirbp","Gnb1"
"Gnpnat1","Sirpa"
"Gba","Safb2"
"Pebp1","Rps15"
"Srbd1","Tor1aip1"
"Trim33","Ap2b1"
"Ube2l3","Sec16a"
"Rrbp1","Pfkp"
"Hmga1","Stim2"
"Xaf1","Capns1"
"Etv6","Stxbp1"
"Ogt","Dctn2"
"Ap1m1","Clec4a3"
"Trim30a","Stx2"
"Bop1","Ifi47"
"Zbtb8os","Mpp2"
"Dhrs1","Actn3"
"Ppil4","Rbck1"
"Rpl13a","Actn1"
"Myef2","Ikbkg"
"Trappc8","Casp7"
"Gtf2i","Elovl1"
"Tyms","Atp5d"
"Fermt3","Atp1a3"
"Lyn","Ccnd2"
"Bcl2l13","Sfxn1"
"Fau","Smad4"
"Cs","Stxbp5"
"Csnk2a1","Dnajc5"
"Mpp2","Rap1gds1"
"Mms19","Ube2o"
"Xab2","Trim33"
"Mina","Timm50"
"Dcakd","Nol10"
"Rps6kb1","Fdxr"
"Chaf1b","Gngt2"
"Mrpl42","Stk24"
"Ifi30","Pcf11"
"Arih1","Cnot1"
"Txndc12","Homer1"
"Prkd2","Abcf1"
"Patl1","Clec7a"
"Rab1b","Cds2"
"Atp5d","Hdac1"
"Acat1","Tnfrsf26"
"Zadh2","Mrpl55"
"Cirbp","Atp13a1"
"Idh2","BC017643"
"Wdr12","Ubqln4"
"Rnmt","Gnb3"
"Ipo4","BC003331"
"Timm9","Actr3b"
"Fcgr3","Med7"
"Dnm1l","Galk2"
"Mapk8","Gstm4"
"Ccnd2","Gorasp2"
"Zc3h18","Tank"
"Dap3","Sfxn3"
"Prkar1a","Pi4k2a"
"Nxt2","Ikzf2"
"Cds2","Dock11"
"Vapa","Bphl"
"Ubtf","Napg"
"Pcbp2","Ppp3ca"
"Flcn","Pstpip2"
"Dazap1","Reps1"
"Pip4k2a","Tle2"
"Arfgap3","H13"
"Cdk17","Lactb"
"Commd9","Uck2"
"Acin1","Rbmx"
"Npm3","Snx8"
"Cd68","Ecsit"
"Rps27l","Usp16"
"Gbp9","Gigyf2"
"Lnp","Wbscr22"
"Sirpa","Rpl13a"
"Prkd2","Ncald"
"Tle3","Slc16a3"
"2210016F16Rik","Acot1"
"Atp1a3","Bcl2l13"
"Gnpnat1","Actn1"
"Bcl2l13","Uba1"
"Sf3a2","Nfu1"
"Nek7","Ipo7"
"Pld4","Dicer1"
"Actn1","E2f4"
"Farsb","Cbfa2t2"
"Nucb2","Nudt7"
"Nhlrc3","Trim14"
"Tbc1d24","Ndufb8"
"Glmn","Mlst8"
"Tyms","Plxdc2"
"Lrch4","Abcc1"
"Hnrnpa3","Tbc1d9b"
"Sirpa","Bre"
"Pik3r1","Pfdn2"
"Slc30a5","Scin"
"Pik3r6","Cyfip2"
"Hspa4","Ythdf1"
"Actg2","Lrrc20"
"Atp1a3","Pcf11"
"Srbd1","Stt3a"
"Gatad2a","Vav1"
"Tbc1d2","Seh1l"
"Sri","Trim16"
"Ncdn","Pycrl"
"Tyrobp","Cd53"
"Timm50","Pcm1"
"Ncald","Mrc1"
"Wac","Glrx3"
"Mrpl37","Nrbp1"
"Srbd1","Atp5d"
"Efhd2","B3gnt2"
"Fkbp4","Ddx50"
"Agl","Esyt2"
"Pcm1","Rufy1"
"Gbp9","Smarca4"
"Kif23","Lypla1"
"Adrbk1","U2af2"
"Smcr8","Mlkl"
"Nxt2","Nrbp1"
"Pilra","Irak4"
"Vapa","Cd151"
"Mogs","Hnrnpl"
"Larp4","Pank2"
"Sumf1","Pddc1"
"Idh2","U2af2"
"Paics","Arfgap2"
"Son","Sltm"
"Ddb1","Map3k2"
"Pcf11","Nupl1"
"E2f4","Gtf2a1"
"Aldoart1","Ggta1"
"Gfer","Hddc2"
"Ahnak","Acox3"
"Mertk","Prkab2"
"Uba1","Arhgap1"
"Sdha","Cog1"
"Esyt2","Prkcsh"
"Zc3h11a","Ppp6r3"
"Wdr45","Aip"
"Mif","Ddx3y"
"Naaa","Mgl2"
"Rsrc2","Ptpn23"
"Gbp9","Lrch3"
"Nrf1","Atp5d"
"Tax1bp1","Inpp5b"
"Paics","2310022A10Rik"
"Atp1a3","Uba1"
"Smap2","Clec10a"
"Pik3r6","Ppt1"
"Shmt2","Idua"
"Gnb3","Pea15a"
"Rabgef1","Acaa1a"
"Gstm1","Yy1"
"Ctnnd1","Trmt5"
"Elovl1","Farsb"
"Eif2s3y","Cdc37l1"
