RG	TG	Weight
G1	G15	0.24206455750271494
G63	G66	0.1960663763819916
G15	G1	0.13965728008561518
G66	G63	0.1280840640107614
G63	G70	0.11889748008471682
G89	G92	0.11674849312540976
G81	G87	0.10562742528146002
G70	G63	0.097274646041043
G66	G68	0.0955084218777815
G5	G40	0.09237254852992861
G92	G89	0.09146385942378851
G66	G65	0.09048492739851172
G38	G14	0.09029714592757973
G18	G6	0.0895508897275671
G91	G92	0.08602353251442092
G18	G16	0.08563683227083022
G31	G30	0.0834662314681021
G93	G14	0.08318802140374669
G91	G89	0.08267895859816855
G68	G66	0.08264686021789487
G60	G63	0.08224109629066881
G38	G83	0.08162998305672414
G43	G82	0.08147142128982648
G23	G40	0.07983481486105774
G89	G91	0.07981527517750062
G41	G97	0.07745329285510537
G66	G62	0.07714067525270603
G37	G93	0.07636189473941726
G17	G85	0.07624250192630633
G66	G57	0.07595778214266904
G23	G79	0.07387825965046577
G23	G99	0.07211853958652882
G92	G91	0.07152689805092968
G64	G66	0.07147653483088322
G85	G24	0.07132492554793587
G81	G99	0.07061822749633892
G38	G42	0.07043318375330843
G28	G45	0.07032581784069447
G32	G42	0.06995388561480666
G63	G60	0.06979220488630451
G2	G1	0.06968162386922931
G18	G32	0.06965476280149326
G60	G70	0.0686242675928236
G63	G68	0.0677347273973367
G16	G18	0.0677100765288676
G14	G93	0.06759043234203574
G65	G66	0.06753818461881524
G41	G45	0.06751178695471219
G18	G46	0.06656072699073294
G93	G97	0.06620866650718324
G41	G17	0.06612797449180947
G99	G81	0.06585763314483731
G48	G25	0.0655987704308933
G66	G56	0.06545817309914621
G8	G32	0.06514776510560527
G99	G5	0.06433152973070154
G63	G62	0.06420057804590062
G6	G49	0.06404204467907373
G41	G51	0.06384761941089047
G82	G43	0.06365857849473446
G40	G23	0.06291735481588384
G32	G23	0.06233818383236256
G23	G88	0.062175397602019136
G45	G28	0.061855294365545
G30	G31	0.06135637292713635
G60	G66	0.060990056652972954
G38	G85	0.06098590457514134
G10	G47	0.06095611098026177
G40	G5	0.060948713668945456
G93	G37	0.06074766380956562
G31	G36	0.06066830500755369
G14	G38	0.06056223846370727
G65	G57	0.06045559090568003
G5	G42	0.05980779967382617
G24	G85	0.05964626249839542
G49	G38	0.059610736375021574
G87	G81	0.05869184992823109
G65	G63	0.05828886149742579
G5	G99	0.058174678988179865
G97	G39	0.058146374775176785
G63	G65	0.057979736143019905
G47	G10	0.057817889158055344
G6	G18	0.057815779566351894
G8	G87	0.057765654392554926
G88	G51	0.05776540339592274
G83	G38	0.05740563144524216
G1	G2	0.057290780783819995
G68	G63	0.05727809341328008
G80	G90	0.057149503269682544
G32	G39	0.05713729689590568
G32	G18	0.056880467484653
G70	G60	0.05687023187356314
G57	G66	0.056638069393108996
G90	G60	0.05641277940268163
G79	G23	0.056392707812809924
G88	G36	0.05596316586912803
G99	G2	0.05566075591332688
G80	G5	0.05565488769124565
G33	G20	0.05548769620424779
G23	G81	0.05509880307639698
G66	G70	0.0545593802074115
G66	G64	0.053983465550206215
G54	G3	0.05386679281773958
G88	G20	0.053677787494551744
G40	G17	0.05333692307065033
G41	G39	0.05299598888590499
G76	G61	0.05273733528374973
G36	G34	0.05256331883475581
G23	G21	0.05243833736320775
G16	G9	0.05236793666155418
G8	G17	0.05226178214453411
G17	G99	0.052257561680355745
G23	G32	0.051976410426366276
G37	G91	0.05176556563140495
G5	G49	0.05168572059203516
G32	G41	0.05157007581331735
G16	G77	0.051201432723301826
G17	G5	0.05078427754693347
G5	G80	0.05059128885179041
G21	G91	0.05001339534945237
G18	G59	0.04987122342216844
G51	G87	0.049659056635353645
G41	G46	0.0496465297191585
G71	G75	0.049479847268000296
G63	G64	0.04945443828271407
G16	G80	0.04938229466294573
G18	G50	0.04917538011976844
G37	G8	0.04910786323779124
G79	G21	0.049077044211769574
G20	G9	0.04896091229336299
G97	G37	0.04889650062654356
G37	G43	0.04878169718150743
G59	G18	0.04864441000250686
G81	G88	0.048621816229721206
G32	G8	0.048476866154296396
G41	G64	0.048427731721287774
G57	G55	0.04835299943948914
G49	G24	0.04827519226849794
G36	G31	0.048239733883377586
G40	G31	0.048163086663350924
G64	G16	0.04815199604165849
G32	G30	0.04809129785087505
G28	G98	0.04801344207635566
G87	G51	0.04770217492995166
G18	G8	0.04765417931472924
G30	G28	0.04750259127231692
G63	G1	0.04748566970997955
G31	G11	0.04726998881590436
G32	G47	0.04709861576242471
G82	G83	0.0467116456274043
G49	G6	0.046693969881020835
G64	G15	0.04667398299302
G5	G43	0.04664157195100596
G63	G56	0.046278362727348255
G23	G42	0.045761210988857604
G88	G52	0.04549988106384518
G43	G49	0.04542467250399906
G41	G5	0.045417649297477734
G46	G10	0.045326358611308765
G99	G46	0.04520049677157215
G59	G64	0.044672339112159516
G87	G39	0.04458572946908919
G47	G50	0.044286308153821625
G1	G19	0.04422639411146332
G97	G43	0.04410277779109509
G76	G52	0.04409368555004329
G5	G47	0.04387531009679274
G51	G8	0.04387377757377039
G61	G59	0.04380655811453854
G37	G45	0.04379841426593519
G42	G86	0.043756558678301076
G25	G48	0.043652891755084404
G61	G64	0.043616192283695475
G39	G38	0.04357242275815744
G88	G81	0.04351186614729122
G5	G24	0.0434763051370072
G5	G41	0.04344582418323068
G16	G64	0.043226071517871986
G37	G14	0.043050075147178346
G6	G16	0.042858806875727753
G32	G59	0.042629783071896146
G69	G71	0.042625256764148266
G93	G80	0.04260261888127726
G59	G61	0.04257917566413705
G88	G96	0.04245226431685998
G8	G37	0.04243001819465349
G31	G96	0.042372155269559134
G21	G9	0.04210214812597813
G37	G97	0.0419533969919486
G23	G24	0.04183069508884176
G81	G39	0.04183054453430602
G68	G55	0.04177970051606328
G50	G47	0.04176138727463707
G34	G75	0.04171789390011861
G32	G87	0.04169833852912924
G43	G97	0.04149473090995455
G95	G94	0.041464691480077226
G93	G51	0.04143303612694369
G80	G43	0.04138284649981552
G57	G65	0.041327366478236274
G14	G96	0.04114193582448069
G32	G10	0.041134507387110594
G81	G51	0.04111527265814406
G32	G96	0.04106281165773888
G5	G85	0.0410556540821675
G91	G10	0.041008266804690524
G64	G63	0.04093342165607225
G90	G86	0.04085009442400569
G14	G45	0.04081944652405171
G99	G20	0.04072792627515338
G39	G32	0.04072316531614252
G50	G39	0.04069209142813717
G70	G68	0.040351511406156254
G42	G13	0.0403176663607757
G37	G89	0.040241463371777406
G24	G49	0.04021176283605845
G75	G3	0.04020607491230707
G51	G40	0.04012734101550804
G68	G70	0.040113110832623936
G93	G96	0.03999244336620776
G49	G5	0.039987283418303
G90	G17	0.03995512420231005
G41	G2	0.03975258750174386
G62	G65	0.03973432784159454
G39	G93	0.03972749368661888
G97	G2	0.039683629719538156
G41	G88	0.03956140491183265
G16	G20	0.03955841695735727
G49	G34	0.03947606063728406
G87	G8	0.039346824492455336
G39	G64	0.03929738234178507
G14	G8	0.03929259485892587
G17	G8	0.039209438519932964
G38	G47	0.03919949230750352
G41	G16	0.03914060277918934
G35	G26	0.0391269629011572
G80	G9	0.03889456143747859
G32	G81	0.03888946308412337
G21	G79	0.038769573819898075
G5	G17	0.03874266917700361
G92	G53	0.03850175485705794
G9	G23	0.038490224300453596
G81	G41	0.038378849269337455
G41	G6	0.03834059489919354
