RG	TG	Weight
G60	G62	0.49054265927938456
G83	G82	0.4189058346989181
G82	G83	0.4171020956404335
G51	G71	0.39151097068679597
G69	G81	0.3816719262467113
G74	G8	0.3762791711158631
G43	G39	0.361219890138206
G69	G13	0.35586619583577567
G17	G25	0.3254849802170578
G64	G67	0.32360178051948907
G76	G86	0.3194578508214624
G81	G48	0.2966307600313925
G61	G77	0.29526575126245735
G13	G50	0.2883155909167438
G91	G87	0.2830687088047121
G17	G42	0.280873962845907
G25	G17	0.26902098959900905
G51	G53	0.26347594420200116
G17	G69	0.25815598375428456
G100	G52	0.2571791665112047
G99	G61	0.25370268908040494
G84	G63	0.2476704078797693
G71	G14	0.24301343793461447
G28	G15	0.2417574603537408
G6	G12	0.22868066159949774
G76	G28	0.219401489123414
G39	G43	0.21538936877821283
G62	G60	0.21181523730081772
G24	G76	0.21146244721266516
G52	G54	0.20901083411457544
G71	G74	0.20256528435548862
G63	G84	0.20117585020273357
G76	G24	0.19414468772691287
G1	G32	0.19365106799860973
G28	G55	0.18164957993861136
G92	G23	0.18117267963892994
G28	G78	0.17891603844026452
G57	G60	0.17853119299631884
G40	G93	0.177495622020322
G47	G56	0.17710907509292428
G69	G99	0.1761017518808915
G84	G92	0.17461827178151001
G63	G64	0.17101742672370648
G99	G41	0.1595643320844618
G55	G28	0.15909100700116402
G71	G24	0.15882879639692457
G87	G91	0.15878537236395052
G99	G11	0.15758251617654415
G49	G66	0.15646645161248227
G52	G100	0.1560030199719569
G8	G74	0.15501581045280155
G25	G29	0.15388999363067188
G71	G23	0.1531590979563857
G71	G51	0.14900968738482157
G51	G64	0.14332932666852732
G60	G27	0.14305945402602332
G40	G47	0.14126104524190103
G69	G14	0.13991583293418156
G6	G58	0.13980969763739556
G1	G4	0.13539414306690115
G71	G57	0.13405431003923995
G61	G57	0.13382416346205758
G100	G78	0.1289061958900754
G61	G100	0.12768952274334747
G86	G76	0.12691857340533866
G84	G43	0.12507016222501854
G42	G56	0.12240626825706023
G67	G72	0.12226690816993481
G21	G88	0.11956300757433144
G61	G37	0.11917012957359885
G25	G40	0.11879831948240493
G93	G40	0.11791109159615117
G45	G51	0.1163640391695045
G7	G38	0.115938332720642
G96	G85	0.11441807753685311
G10	G38	0.11355835108623405
G14	G3	0.11249255833263812
G92	G37	0.11192058267407025
G61	G99	0.11134567734856533
G4	G1	0.109639099362056
G42	G91	0.10899187592676603
G69	G17	0.10826845702074793
G45	G70	0.10800524083710268
G91	G42	0.10594975953448255
G64	G63	0.10519747712130333
G38	G10	0.10477740083959163
G47	G37	0.10297895704984361
G32	G1	0.10249037187435249
G17	G91	0.10215379293139315
G77	G61	0.09997915570033165
G81	G69	0.0999123830169201
G19	G75	0.09987498429340182
G17	G66	0.0998310634485235
G51	G57	0.09963280098976063
G93	G37	0.09861280161497388
G58	G50	0.09834445544000534
G63	G88	0.09828741033003228
G56	G47	0.09817098883570682
G17	G29	0.09710713905672086
G13	G23	0.09685837664028818
G92	G84	0.09587907912004508
G60	G57	0.09587772997985616
G13	G69	0.0957639345704472
G24	G51	0.09453025985913663
G54	G93	0.09433938225023533
G84	G20	0.09319202396414338
G61	G63	0.09152880242059723
G36	G10	0.09144457815347921
G9	G98	0.09144145590982503
G69	G58	0.09111609144221938
G56	G94	0.08853883270155669
G5	G98	0.08827458967795157
G10	G72	0.08624387366507973
G40	G6	0.08499808657702454
G69	G52	0.08449118575675418
G69	G6	0.08381147977767808
G28	G76	0.08344667687394264
G74	G84	0.08304052386494358
G6	G40	0.08296810178481161
G67	G64	0.08281022227843855
G57	G21	0.0818362313553227
G55	G48	0.08135164658709128
G48	G55	0.0791534073543782
G97	G90	0.07898315968686849
G16	G34	0.07877848676494438
G82	G94	0.07738930646021644
G51	G24	0.07734159437237857
G17	G40	0.0772107267374907
G50	G58	0.07589963167098164
G12	G21	0.07540101489506043
G29	G25	0.07511100277653678
G50	G13	0.07340498151795818
G24	G71	0.0729512764086528
G50	G60	0.07277383396403385
G76	G99	0.07247993220472417
G64	G86	0.0722401806561413
G6	G92	0.07067910160806531
G67	G33	0.07012815484127195
G86	G30	0.06996540502419928
G29	G12	0.06985976811211914
G23	G92	0.06869383886045645
G52	G47	0.06854245846303635
G99	G54	0.06795158328264951
G57	G61	0.06765696144501805
G92	G6	0.06745088379543177
G72	G10	0.06661085649470778
G40	G77	0.06564409460805011
G69	G56	0.0646168462423476
G51	G45	0.06460293585219837
G37	G75	0.06414104614722854
G37	G93	0.06404603997753049
G25	G12	0.06354590786905538
G57	G93	0.06292254059143544
G64	G51	0.06258472178197913
G56	G11	0.062379906587159493
G86	G83	0.06208081809880202
G37	G96	0.062020709988332305
G1	G11	0.06199063178818064
G93	G47	0.06189937841173821
G69	G11	0.06179740607346324
G93	G41	0.06161825690685691
G43	G84	0.061568161445661296
G88	G22	0.06133560764039141
G29	G49	0.06132216509677114
G42	G99	0.060846343261917527
G78	G15	0.060667223414750365
G24	G35	0.060370547159793626
G71	G31	0.059172319939115064
